Customer ID,Customer Name,HKM Item Code,HKM Description,Customer Order
I Love Pho,I Love Pho,VLB,LEAF BASIL FRESH AVG 10 LB/CSE,pouds basil / Basil
I Love Pho,I Love Pho,NBPFS30,NOODLE BANH PHO TUOI FRESH SINCERE ORIENT 3/10 LB/CSE,350 pouds noodle
I Love Pho,I Love Pho,MBERU,BEEF EYE ROUND CHOICE USA AVG 70 LB/CSE,beef eye round / Bee Eye Round
I Love Pho,I Love Pho,MBBI,BEEF BRISKET BONELESS CHOICE AVG 62 LB/CSE,Beef Brisket
I Love Pho,I Love Pho,NMPK,"NOODLE DRIED MEDIUM 'PEKING', 25 LB/CSE",pekin dried noodle
I Love Pho,I Love Pho,GSHT,"SAUCE HOISIN TABLE 'LKK', 12/20 OZ/CSE",hoisin sauce / Hoisin Sauce For Table / Hoison Sauce For Table
I Love Pho,I Love Pho,FIMS,"ICE CREAM - MOCHI, 'STRAWBERRY' 8/6 PC/CSE",Mochi / Mochi Ice Cream Starmberry / Mochi Stranberry Favor
I Love Pho,I Love Pho,VRDW,RADISH DAIKON WHITE AVG 40 LB/CSE,daicon
I Love Pho,I Love Pho,MBTRS,BEEF TRIPE SLICE AVG 30 LB/CSE,Beef Tripe / Tripe
I Love Pho,I Love Pho,FSEWC,"SKIN SPRING ROLL 'W.C.', 40/25 PC/CSE",
I Love Pho,I Love Pho,FPC,"PEA & CARROT, 24 LB/CSE",peans and carrots
I Love Pho,I Love Pho,GRP,"RICE LONG GRAIN 'PEACOCK', 50 LB/BAG",Long Grain / Long Grain Rice
I Love Pho,I Love Pho,ZTGC2000CJ,CHOPSTICKS TO GO BAMBOO BC9 20 BAGS/80 CT/CSE,chopsticks
I Love Pho,I Love Pho,CMSGV,"MONOSODIUM GULATAMATE, ' W.C ' 50 LB/BAG",m.s.g / Msg
I Love Pho,I Love Pho,GSHLKK,"SAUCE HOISIN 'LKK', 6/5 LB/CSE",case hoisin sauce big can
I Love Pho,I Love Pho,SSH3040,SHRIMP HEAD ON 30-40 CT AVG 24 LB/CSE,
I Love Pho,I Love Pho,GSR,"SUGAR ROCK, 50/16 OZ/CSE",rock candy
I Love Pho,I Love Pho,VCGR,CABBAGE GREEN,Cabagge
I Love Pho,I Love Pho,GSSCM,"SAUCE SWEET CHILI CHICKEN MAEPLOY 'TCC', 12/730 ML/CASE",Sweet Chili Sauce
I Love Pho,I Love Pho,FEVGL175,SPRING ROLL - VEGETABLE GREENLAND 200/1.76 OZ/CSE,egg rolls vegetales / Vegget Egg Rolls / Veggies Egg Rolls
I Love Pho,I Love Pho,GOSHO,"OIL SHORTENING CREAMY,TUB",Cream Oil
I Love Pho,I Love Pho,GOSBA,"OIL SOY BEAN SALAD, 560 FL OZ/CASE",Salad Oil
I Love Pho,I Love Pho,MBPPD,BEEF STEW DROP FLANK PALO DURO AVG 40 LB/CSE,beef droft flank / Beef Drop Flank
I Love Pho,I Love Pho,MPFC,"PORK FEET CUT, FRONT FEET AVG 30 LB/CSE",Pork Feet
I Love Pho,I Love Pho,FCRC,CRAB RANGOON COOKED W.C 100 CT/CASE,
I Love Pho,I Love Pho,SSEL2630PM,"SHRIMP WHITE HL 26-30 CT BLUE RIVER, ECUADOR LB AVG 40LB/CSE",
